,Hourly_Averages
555,1.1666666666666667
556,3.5
557,2.0
558,2.25
559,3.25
560,2.9166666666666665
561,0.5
562,0.25
563,1.3333333333333333
564,1.6666666666666667
565,2.3333333333333335
566,2.4166666666666665
567,3.6666666666666665
568,2.1666666666666665
569,3.8333333333333335
570,4.0
571,4.0
572,3.8333333333333335
573,3.9166666666666665
574,3.0
575,4.0
576,3.8333333333333335
577,3.0833333333333335
578,0.4166666666666667
579,0.25
580,0.4166666666666667
581,0.25
582,0.4166666666666667
583,0.5
584,0.16666666666666666
585,3.1666666666666665
586,2.0833333333333335
587,0.0
588,3.5833333333333335
589,11.333333333333334
590,12.0
591,12.0
592,10.416666666666666
593,7.583333333333333
594,6.333333333333333
595,6.0
596,2.9166666666666665
597,0.0
598,0.0
599,0.0
600,1.5
601,1.5833333333333333
602,2.5
603,3.25
604,2.0833333333333335
605,1.25
606,3.25
607,3.0
608,3.5833333333333335
609,4.0
610,3.1666666666666665
611,3.0833333333333335
612,3.5833333333333335
613,3.0
614,2.25
615,2.0
616,1.0833333333333333
617,1.0
618,0.5
619,0.0
620,3.3333333333333335
621,3.1666666666666665
622,0.75
623,3.0
624,8.416666666666666
625,17.666666666666668
626,18.0
627,17.416666666666668
628,16.0
629,15.0
630,14.333333333333334
631,13.583333333333334
632,12.416666666666666
633,9.333333333333334
634,6.75
635,5.0
636,2.4166666666666665
637,1.4166666666666667
638,1.5
639,2.9166666666666665
640,3.0
641,0.3333333333333333
642,2.75
643,3.6666666666666665
644,1.5
645,8.0
646,11.166666666666666
647,9.666666666666666
648,8.166666666666666
649,5.0
650,3.0
651,2.8333333333333335
652,1.75
653,0.75
654,0.08333333333333333
655,0.0
656,2.0
657,2.1666666666666665
658,0.6666666666666666
659,1.9166666666666667
660,2.4166666666666665
661,1.5833333333333333
662,4.166666666666667
663,6.25
664,4.75
665,4.0
666,3.6666666666666665
667,2.75
668,2.0
669,2.6666666666666665
670,3.4166666666666665
671,6.666666666666667
672,11.0
673,11.0
674,10.833333333333334
675,10.0
676,10.0
677,5.916666666666667
678,1.75
679,0.6666666666666666
680,1.1666666666666667
681,1.0
682,0.4166666666666667
683,1.25
684,3.6666666666666665
685,3.3333333333333335
686,2.0
687,1.0
688,3.0833333333333335
689,5.0
690,5.0
691,5.0
692,5.0
693,5.0
694,2.5833333333333335
695,1.5
696,3.0833333333333335
697,2.1666666666666665
698,1.25
699,6.166666666666667
700,7.0
701,7.0
702,7.0
703,7.0
704,7.0
705,7.0
706,7.0
707,7.0
708,6.083333333333333
709,4.0
710,4.0
711,2.75
712,0.75
713,2.3333333333333335
714,4.0
715,3.8333333333333335
716,3.0
717,3.0
718,3.0
719,2.8333333333333335
